Hour,Forecasted_Power
1,82.2658890309703
2,72.47439418977615
3,56.81796587966851
4,35.917261321900654
5,51.277399589018984
6,41.56249450172743
7,67.38245052856132
8,44.06030476783106
9,47.92960615427568
10,24.429228831395196
11,68.81155845435971
12,49.35781831480269
13,77.2849521744337
14,72.01482719581699
15,86.89852212611984
16,87.82108402287136
17,80.72274924107575
18,82.30258035075263
19,59.23095456713796
20,47.36421000762649
21,45.01015508432849
22,42.07553193458535
23,28.061955752931958
24,36.229326599343366
